編號,章節,頁面類型,標題,主要內容,視覺/圖表元素,排版細節,講者口述重點,預計時間
13,03 分析方式,內容,LSTM 時序輸入設計,"輸入形狀：T × 3，每個時間步 (view_count, like_count, comment_count) • T = 前 3 小時 / 5–10 分鐘間隔 ≈ 18–36 步 • 各維度以最大值歸一化 • LSTM 自動學習加速度、平台期等表格特徵抓不到的模式","左側畫一張時間序列折線圖（三條線）• 右側用矩陣示意 (T × 3)","圖表佔左半 50%、說明文字右半 • 用箭頭標出 T 的範圍","『LightGBM 用人工特徵，LSTM 直接吃原始時序——兩種模型角度互補。』",55秒
14,03 分析方式,內容,留言情緒分析,"模型：uer/roberta-base-finetuned-jd-binary-chinese（開源中文情緒模型） • 流程：每部影片 200 則留言 → 模型推論 → 情緒平均分數 • 為什麼選它：開源、可離線、中文評論語料微調、不依賴付費 API","左側 logo（HuggingFace icon） + 模型名稱卡片 • 右側流程圖：留言 → 模型 → 平均分數","模型名稱用 monospace 字體、淺灰背景框 • 流程圖箭頭用主色","『不用自己寫詞典——用社群已經訓好的開源模型，省時且效果好。』",40秒
15,04 預計嘗試的方法,章節分隔頁,04 預計嘗試的方法,04 / 預計嘗試的方法,同前,維持一致,『接下來談模型選擇。』,5秒
16,04 預計嘗試的方法,內容,四種模型一覽,"① Logistic Regression — 線性基準，看非線性是否真有增益 • ② LightGBM — 表格資料主力，提供 SHAP 解釋 • ③ LSTM — 直接吃時序，捕捉動態模式 • ④ Stacking Ensemble — 整合 ② ③ 的預測","四欄卡片、每張卡片放：模型 icon + 名稱 + 一句話用途","卡片背景用四種主色淺色 • 卡片標題粗體 22pt、說明 14pt","『不堆同類型模型——每個都代表一種不同的歸納假設，比較才有意義。』",55秒
17,04 預計嘗試的方法,內容,Stacking 架構圖,"Base learner 1：LightGBM（表格特徵） → 機率 P1 • Base learner 2：LSTM（時序輸入） → 機率 P2 • Meta learner：Logistic Regression(P1, P2) → 最終預測","畫架構圖：表格特徵→LightGBM→P1、時序→LSTM→P2，兩條線匯入 LR 方框→最終預測","架構圖佔頁面 80%、置中 • 方框用三種顏色區分 base/meta/output","『讓兩種互補的模型協作，比單獨一個更穩。』",50秒
18,05 方法特色與創新性,章節分隔頁,05 方法特色與創新性,05 / 方法特色與創新性,同前,維持一致,『我們有四個亮點。』,5秒
19,05 方法特色與創新性,內容,四大特色,"特色 1：HTTP 狀態碼自動判定 Shorts • 特色 2：表格 ML + 時序 DL 的 Stacking • 特色 3：留言特徵走少而精路線（開源情緒模型） • 特色 4：分階段對照實驗量化各類特徵貢獻","左側四個編號圓圈（01–04）• 右側對應四行說明","編號圈用主色填滿白字 50pt • 說明文 18pt 左對齊","『這四點是我們認為跟普通 baseline 專題不一樣的地方。』",1分20秒
20,06 模型效能評估方式,章節分隔頁,06 模型效能評估方式,06 / 模型效能評估方式,同前,維持一致,『怎麼證明這些方法有用？』,5秒
21,06 模型效能評估方式,內容,評估指標 + 對照實驗,"指標：F1-score（兼顧 precision/recall）+ AUC-ROC（看排序能力，不受門檻影響） • 對照實驗：A 基本+頻道、B 加早期流量、C 再加留言情緒 • 切分：依時間順序，避免時序洩漏","上半放兩個指標卡片（F1 / AUC + 一句說明） • 下半放對照實驗 ABC 的階梯圖","上下兩區塊用細線分隔 • ABC 用顏色漸深表示特徵越多","『指標只挑兩個有意義的——不堆 accuracy / MAE 等不相關指標。對照實驗才是真正回答研究問題。』",1分20秒
22,07 預期成果,章節分隔頁,07 預期成果,07 / 預期成果,同前,維持一致,『最後是預期產出。』,5秒
23,07 預期成果,內容,預期成果與時程,"成果：① 可重複的爬蟲流程 ② 兩套特徵資料集 ③ 四模型比較 ④ 對照實驗結論 ⑤ SHAP 特徵重要性圖 • 時程：4 月底開爬 → 5 月中完成資料 → 5 月下旬建模 → 6 月初評估與報告","左側：5 個成果項目（用 ✓ 列點） • 右側：簡易甘特圖（4 月～6 月）","左右 5:5 • 甘特圖用主色長條","『時程已經規劃好，每週都有明確產出。』",55秒
24,結尾,結尾頁,謝謝聆聽 ｜ Q&A,"歡迎提問與建議 • 聯絡方式：[email]","中央大字『Q&A』 • 下方放小字謝謝聆聽","『Q&A』120pt 主色、其他資訊 18pt","『以上是我們的提案，謝謝大家，請不吝指教。』",5秒
